,0,1,2,3,4,5
515,Asif Iqbal,28/01/1982,South Korea,,,3
516,Asif Iqbal,12/01/1984,United Arab Emirates,,1,
517,Asif Khan,15/02/1990,United Arab Emirates,,35,40
518,Asif Mahmood,18/12/1975,Pakistan,,2,
519,Asif Masood,23/01/1946,Pakistan,16,7,
520,Asif Mujtaba,04/11/1967,Pakistan,25,66,
521,Asim Ashraf,01/04/1988,Gambia,,,3
522,Asim Butt,24/10/1967,Scotland,,5,
523,Asim Kamal,31/05/1976,Pakistan,12,,
524,Asim Saeed,05/11/1979,United Arab Emirates,,2,
525,M N M Aslam,27/07/1990,Kuwait,,,67
526,Aslam Khan,01/11/2001,Malaysia,,,9
527,Aslam Mohammad,01/01/1984,Greece,,,14
528,A Aspiotis,25/02/1988,Greece,,,3
529,Asrar Ahmed,06/04/1984,Greece,,,7
530,Assad Borham,10/08/1992,Qatar,,,7
531,Assad Mehmood,06/09/1977,Portugal,,,2
532,S Y S Assegon,23/05/1995,Cameroon,,,3
533,M F I Assuncao,17/05/2000,Brazil,,,9
534,W E Astill,01/03/1888,England,9,,
535,N J Astle,15/09/1971,New Zealand,81,223,4
536,T D Astle,24/09/1986,New Zealand,5,9,5
537,Aswad Khan,24/12/1994,Bulgaria,,,3
538,S Atai,19/09/1999,Papua New Guinea,,15,18
539,R D Atangana,30/07/2000,Cameroon,,,14
540,M S Atapattu,22/11/1972,Sri Lanka,90,268,2
541,Ata-Ur-Rehman,28/03/1975,Pakistan,13,30,
542,S Ateak,22/09/1993,Ghana,,,3
543,V Ateak,10/05/1997,Ghana,,,7
544,Ateeq Iqbal,10/12/1991,Hong Kong,,,22
545,A Athanaze,07/12/1998,West Indies,12,13,4
546,Athar Ali Khan,10/02/1962,Bangladesh,,19,
547,P S Athavale,20/04/1997,Oman,,7,21
548,M A Atherton,23/05/1968,England,115,54,
549,C W J Athey,27/09/1957,England,23,31,
550,Atif Ali Khan,11/02/1986,United Arab Emirates,,,1
551,Atif Kamal,03/03/1981,Luxembourg,,,15
552,Atif Mehmood,17/07/1987,Spain,,,30
553,Atif Rasheed,15/03/1990,Finland,,,16
554,Atif Rauf,03/03/1964,Pakistan,1,,
555,Atif-Ur-Rehman,12/01/1992,Saudi Arabia,,,19
556,Atiq-Uz-Zaman,20/07/1975,Pakistan,1,3,
557,A A P Atkinson,19/01/1998,England,11,9,3
558,D S E Atkinson,09/08/1928,West Indies,22,,
559,E S E Atkinson,06/11/1927,West Indies,8,,
560,J J Atkinson,23/08/1990,Hong Kong,,9,29
561,W Attewell,12/06/1861,England,10,,
562,Augusto Mustafa,16/07/1992,Argentina,,,9
563,M S Aulakh,17/11/1991,Canada,,,3
564,Aung Ko Ko,21/11/1993,Myanmar,,,13
565,I D Austin,30/05/1966,England,,9,
566,R A Austin,15/11/1981,West Indies,2,,
567,R A Austin,05/09/1954,West Indies,2,1,
568,S Austin,22/02/1998,Cyprus,,,19
569,M T M M J Ave,06/07/1998,Cook Islands,,,12
570,R Avery,03/02/1976,Brazil,,,12
571,Avesh Khan,13/12/1996,India,,8,25
572,Awais Ahmed,02/05/1991,Spain,,,28
573,Awais Ikram,07/06/1989,Slovenia,,,2
574,Awais Malik,23/10/1982,Qatar,,,18
575,Awais Zia,01/09/1986,Pakistan,,,5
576,K M Awala,13/06/1999,Ghana,,,17
577,P Awana,19/07/1986,India,,,2
578,G Axtell,18/10/2001,Bahrain,,,2
579,Ayaan Khan,30/08/1992,Oman,,41,42
580,A J Ayannaike,10/05/1993,Nigeria,,,20
581,P Ayoleyine,20/10/2005,Ghana,,,6
582,Ayyaz Qureshi,21/10/1982,Slovenia,,,4
583,K Azad,02/01/1959,India,7,25,
584,Azam Khalil,06/04/1986,Sweden,,,9
585,Azam Khan,10/08/1998,Pakistan,,,14
586,Azam Khan,01/03/1969,Pakistan,1,6,
587,Azeem Hafeez,29/07/1963,Pakistan,18,15,
588,Azeem Nazir,15/01/1979,Switzerland,,,4
589,Azhar Ali,19/02/1985,Pakistan,97,53,
590,Azhar Andani,04/02/1994,Portugal,,,15
591,Azhar Hossain,15/03/1964,Bangladesh,,7,
592,Azhar Khan,07/09/1955,Pakistan,1,,
593,Azhar Mahmood,28/02/1975,Pakistan,21,143,
594,Azhar Saeed,25/12/1970,United Arab Emirates,,7,
595,M Azharuddin,08/02/1963,India,99,334,
596,Azin Rafeeg,31/03/2000,Maldives,,,3
597,E I Azine,27/03/2004,Mozambique,,,1
598,K M A Aziz,19/10/2007,Ivory Coast,,,5
599,Aziz Mohammad,01/01/1989,Belgium,,,19
600,Azmat Ali,01/04/1987,Germany,,,2
601,Azmat Rana,03/11/1951,Pakistan,1,2,
602,Azmatullah Omarzai,24/03/2000,Afghanistan,1,36,47
603,Azri Azhar,11/05/2006,Malaysia,,,2
604,Azyan Farhath,12/10/2000,Maldives,,,35
605,No. of Records = 603,,,,,
606,,,,Detailed Profiles & Statistics,,
607,Name,Born,Country (Current),Tests,ODIs,T20s
608,F Baaleri,22/10/1998,Ghana,,,9
609,R Baaleri,16/08/2002,Ghana,,,23
610,S J Baard,29/04/1992,Namibia,,19,28
611,O E G Baartman,18/03/1993,South Africa,,4,12
612,Babar Ali,01/06/1977,Bahrain,,,3
613,Babar Azam,15/10/1994,Pakistan,58,123,128
614,Babar Hayat,05/01/1992,Hong Kong,,22,79
615,M O Bacarese,31/03/1986,Gibraltar,,,4
616,S F A Bacchus,31/01/1954,West Indies,19,29,
617,A A Bacher,24/05/1942,South Africa,12,,
618,A M Bacher,29/10/1973,South Africa,19,13,
619,Badal Singh,29/10/1987,Oman,,2,
620,H K Badani,14/11/1976,India,4,40,
621,C L Badcock,10/04/1914,Australia,7,,
622,F T Badcock,09/08/1897,New Zealand,7,,
623,M Badenhorst,04/04/2006,Botswana,,,11
624,S Badree,09/03/1981,West Indies,,,52
625,S Badrinath,30/08/1980,India,2,7,1
626,K S Bagabena,25/11/1988,Ghana,,,45
627,A Bagai,26/01/1982,Canada,,62,9
628,J Baguma,04/08/2005,Uganda,,,18
629,C Bah,14/11/2002,Sierra Leone,,,29
630,O Bah,10/10/1996,Gambia,,,11
631,Bahir Shah,21/02/2000,Afghanistan,1,,
632,S V Bahutule,06/01/1973,India,2,8,
633,L Baichan,12/05/1946,West Indies,3,,
634,H S Baidwan,31/07/1987,Canada,,32,17
635,A A Baig,19/03/1939,India,10,,
636,M A Baig,28/02/1985,Malawi,,,39
637,G J Bailey,07/09/1982,Australia,5,90,30
638,M D Bailey,26/11/1970,New Zealand,,1,
639,R J Bailey,28/10/1963,England,4,4,
640,T E Bailey,03/12/1923,England,61,,
641,D L Bairstow,01/09/1951,England,4,21,
642,J M Bairstow,26/09/1989,England,100,107,80
643,J Baker,24/01/1993,Cayman Islands,,,8
644,J D Baker,16/02/1988,Samoa,,,10
645,L S Baker,06/09/1984,West Indies,4,10,3
646,A H Bakewell,02/11/1908,England,6,,
647,Bakhtiar Tahiri,21/03/1991,Bulgaria,,,14
648,G Bakiweyem,20/12/1998,Ghana,,,41
649,K F Bakiweyem,04/12/1982,Ghana,,,3
650,P Bakker,19/08/1957,Netherlands,,5,
651,L Bakrania,29/09/2007,Tanzania,,,5
652,S Baksh,15/03/1940,Canada,,1,
653,R Bakum,13/04/1999,Ghana,,,42
654,L Balaji,27/09/1981,India,8,30,5
655,W D Balaji Rao,04/03/1978,Canada,,10,4
656,V Balakrishnan,06/01/1989,Botswana,,,42
657,B Balala,16/07/2007,Malawi,,,6
658,X C Balaskas,15/10/1910,South Africa,9,,
659,A Balbirnie,28/12/1990,Ireland,9,111,110
660,J C Balderstone,16/11/1940,England,2,,
661,J Baleicikoibia,30/06/1997,Fiji,,,6
662,Baljinder Singh,05/07/1989,Romania,,,1
663,Baljit Singh,23/08/1983,Italy,,,11
664,J T Ball,14/03/1991,England,4,18,2
665,A R Balla,09/07/1994,Cameroon,,,16
666,G S Ballance,22/11/1989,Zimbabwe,24,21,1
667,J C Balt,09/11/2003,Namibia,,,5
668,L Bam,,Nepal,,,11
669,C T Bancroft,19/11/1992,Australia,10,,1
670,C M Bandara,31/12/1979,Sri Lanka,8,31,4
671,K M C Bandara,22/05/1987,Sri Lanka,,1,1
672,K N A Bandara,23/11/1998,Sri Lanka,,6,6
673,M R C Bandarathilake,16/05/1975,Sri Lanka,7,3,
674,B Banerjee,30/11/1977,Mexico,,,6
675,S A Banerjee,01/11/1919,India,1,,
676,S N Banerjee,03/10/1913,India,1,,
677,S T Banerjee,13/02/1969,India,1,6,
678,S B Bangar,11/10/1972,India,12,15,
679,S Bangera,09/03/1978,Israel,,,8
680,J Bangura,17/08/2005,Sierra Leone,,,38
681,O A C Banks,17/07/1982,West Indies,10,5,
682,A A Banner,04/07/1998,Belize,,,9
683,G Banner,02/02/2002,Belize,,,15
684,G G Banner,11/12/1998,Belize,,,17
685,H H Banner,22/08/1993,Belize,,,3
686,N N Banner,20/12/2004,Belize,,,10
687,A C Bannerman,21/03/1854,Australia,28,,
688,C Bannerman,23/07/1851,Australia,3,,
689,T Banton,11/11/1998,England,,6,14
690,S Bantzas,16/08/1982,Greece,,,1
691,F Banunaek,25/10/2001,Indonesia,,,44
692,E A E Baptiste,12/03/1960,West Indies,10,43,
693,M Baqua Jilani,20/07/1911,India,1,,
694,A B Barath,14/04/1990,West Indies,15,14,2
695,R T Barber,13/06/1925,New Zealand,1,,
696,R W Barber,26/09/1935,England,28,,
697,W Barber,18/04/1901,England,2,,
698,I Bardis,12/07/1982,Greece,,,2
699,W Bardsley,06/12/1882,Australia,41,,
700,S Barediya,09/01/1993,Eswatini,,,2
701,J Barker,11/09/1995,Luxembourg,,,36
702,L J Barker,23/06/1995,Guernsey,,,10
703,T C Barker,11/09/1995,Luxembourg,,,40
704,E J Barlow,12/08/1940,South Africa,30,,
705,G D Barlow,26/03/1950,England,3,6,
706,R G Barlow,28/05/1851,England,17,,
707,S F Barnes,19/04/1873,England,27,,
708,S G Barnes,05/06/1916,Australia,13,,
709,W Barnes,27/05/1852,England,21,,
710,B A Barnett,23/03/1908,Australia,4,,
711,C J Barnett,03/07/1910,England,20,,
712,G E F Barnett,03/02/1984,Canada,,22,5
713,K J Barnett,17/07/1960,England,4,1,
714,S Barnett,03/04/2004,Isle of Man,,,2
715,C D Barnwell,06/01/1987,West Indies,,,6
716,P Baron,11/12/2000,Argentina,,,28
717,F Barratt,12/04/1894,England,5,,
718,W Barresi,03/05/1984,Netherlands,,52,46
719,A G Barrett,04/04/1942,West Indies,6,,
720,J E Barrett,15/10/1866,Australia,2,,
721,K F Barrington,24/11/1930,England,82,,
722,I Barrow,06/01/1911,West Indies,11,,
723,J Barry,20/06/1988,Bahamas,,,10
724,E L Bartlett,18/03/1906,West Indies,5,,
725,G A Bartlett,03/02/1941,New Zealand,10,,
726,J W Bartlett,13/07/1992,Chile,,,2
727,X C Bartlett,17/12/1998,Australia,,2,7
728,P T Barton,09/10/1935,New Zealand,7,,
729,V A Barton,22/10/1867,England,1,,
730,M C Bascombe,12/01/1986,West Indies,,,1
731,O O Bascombe,08/03/1988,Bermuda,,6,3
732,O Bascome,02/02/1994,Bermuda,,,17
733,O G L Bascome,25/05/1995,Bermuda,,,25
734,D M Basden,28/10/1972,Bermuda,,2,
735,Baseer Khan,08/08/1996,Austria,,,9
736,Bashar Khan,04/01/1994,Italy,,,5
737,Bashir Ahmad,20/04/1994,Switzerland,,,1
738,Bashir Shah,06/04/1983,Denmark,,,9
739,Basil Hameed,15/04/1992,United Arab Emirates,,48,61
740,Basir Ahamad,11/09/2003,Nepal,,3,2
741,Basit Ali,13/12/1970,Pakistan,19,50,
742,V Baskaran,16/05/1990,Singapore,,,33
743,T C Bastiampillai,26/10/1985,Canada,,13,2
744,R R Bastiansz,18/09/1985,Malta,,,5
745,M D Bates,11/10/1983,New Zealand,,2,3
746,W Bates,19/11/1855,England,15,,
747,J W Batinibulu,09/01/1988,Fiji,,,6
748,T Batjargal,17/04/2002,Mongolia,,,2
749,E Batkhuyag,10/10/2006,Mongolia,,,4
750,G J Batty,13/10/1977,England,9,10,1
751,Batuhan Sahin,13/12/2003,Turkey,,,3
752,I P P Batuwitarachchi,03/11/1974,United Arab Emirates,,2,
753,D Bau,05/12/1994,Papua New Guinea,,14,1
754,S Bau,23/06/1992,Papua New Guinea,,57,56
755,C S Baugh,23/06/1982,West Indies,21,47,3
756,H V Baumgartner,17/11/1883,South Africa,1,,
757,T Bavuma,17/05/1990,South Africa,63,44,36
758,C Bayraktar,01/01/1980,Turkey,,,3
759,Baz Ayubi,26/02/1998,Sweden,,,10
760,Bazid Khan,25/03/1981,Pakistan,1,5,
761,K A Bazil,18/05/1982,Cayman Islands,,,8
762,G Bean,07/03/1864,England,3,,
763,D D Beard,14/01/1920,New Zealand,4,,
764,E F Beard,12/01/2001,Isle of Man,,,23
765,G R Beard,19/08/1950,Australia,3,2,
766,R R Beaton,17/09/1992,West Indies,,2,
767,R Beaumont,04/02/1884,South Africa,5,,
768,J E F Beck,01/08/1934,New Zealand,8,,
769,A C Bedade,24/09/1966,India,,13,
770,B S Bedi,25/09/1946,India,67,10,
771,D G Bedingham,22/04/1994,South Africa,12,,
772,A V Bedser,04/07/1918,England,51,,
773,M A Beer,09/06/1984,Australia,2,,
774,D W Begbie,12/12/1914,South Africa,5,,
775,F Behardien,09/10/1983,South Africa,,59,38
776,R R Behera,10/11/2003,United States,,,2
777,W Behr,19/04/1996,Germany,,,8
778,J P Behrendorff,20/04/1990,Australia,,12,17
779,M Beitaki,16/10/1995,Fiji,,,16
780,A J Bell,15/04/1906,South Africa,16,,
781,I R Bell,11/04/1982,England,118,161,8
782,M D Bell,25/02/1977,New Zealand,18,7,
783,W Bell,05/09/1931,New Zealand,2,,
784,J Benaud,11/05/1944,Australia,3,,
785,R Benaud,06/10/1930,Australia,63,,
786,Benele Mngoma,05/06/2007,Eswatini,,,3
787,J E Benjamin,02/02/1961,England,1,2,
788,K C G Benjamin,08/04/1967,West Indies,26,26,
789,W K M Benjamin,31/12/1964,West Indies,21,85,
790,D M Benkenstein,09/06/1974,South Africa,,23,
791,F Benn,22/08/1982,Bahamas,,,17
792,S J Benn,22/07/1981,West Indies,26,47,24
793,B J Bennett,10/11/2003,Zimbabwe,3,6,27
794,H K Bennett,22/02/1987,New Zealand,1,19,11
795,M J Bennett,06/10/1956,Australia,3,8,
796,M R Benson,06/07/1958,England,1,1,
797,A R Berenger,29/08/1991,United Arab Emirates,,10,4
798,G K Berg,18/01/1981,Italy,,,19
799,D E Bernard,19/07/1981,West Indies,3,20,1
800,R D Berrington,03/04/1987,Scotland,,123,97
801,R Berry,29/01/1926,England,2,,
802,D Berthe,31/12/1997,Mali,,,2
803,L Berthe,31/12/1997,Mali,,,10
804,B J Bess,13/12/1987,West Indies,1,,
805,D M Bess,22/07/1997,England,14,,
806,C A Best,14/05/1959,West Indies,8,24,
807,T L Best,26/08/1981,West Indies,25,26,6
808,D Bester,21/02/2004,South Africa,,,
809,N Betancourt,04/06/1887,West Indies,1,,
810,J G Bethell,23/10/2003,England,3,8,7
811,E Beukes,17/12/1997,Cambodia,,,28
812,M G Bevan,08/05/1970,Australia,18,232,
813,A Bhandari,01/10/1978,India,,2,
814,B Bhandari,25/01/1990,Nepal,,17,40
815,L S Bhandari,22/07/1996,Nepal,,1,
816,P Bhandari,27/11/1935,India,3,,
817,M Bhanuka,29/04/1995,Sri Lanka,1,6,5
818,T S Bharaj,03/03/1993,Denmark,,,32
819,K S Bharat,03/10/1993,India,7,,
820,P Bharat Patel,28/04/1988,Panama,,,2
821,S V E Bharathi,10/07/1983,Germany,,,37
822,R Bhardwaj,25/02/1986,Portugal,,,1
823,R Vijay Bhardwaj,15/08/1975,India,3,10,
824,A Bhargava,,Singapore,,,5
825,S Bhari,06/03/1995,Nepal,,11,9
826,P Bhart,11/10/1994,Norway,,,10
827,A R Bhat,16/04/1958,India,2,,
828,R N Bhatia,24/11/1998,United Arab Emirates,,9,
829,A Bhattarai,30/12/1990,Nepal,,,1
830,R A Bhatti,18/02/1990,Canada,,1,4
831,U Bhatti,04/01/1984,Canada,,36,7
832,E Bhonkar,19/09/1999,Israel,,,3
833,Y Bhoola,29/04/1998,Panama,,,5
834,R L Bhudia,22/11/1984,Kenya,,5,3
835,S R Bhudia,24/09/1998,Kenya,,,44
836,S Bhuiyan,17/09/1993,Czech Republic,,,20
837,Bhupinder Singh,01/04/1965,India,,2,
838,K Bhurtel,22/01/1997,Nepal,,57,53
839,L T Bichard,09/12/2002,Guernsey,,,28
840,A J Bichel,27/08/1970,Australia,19,67,
841,M P Bicknell,14/01/1969,England,4,7,
842,M P Biddappa,01/08/1992,Philippines,,,7
843,S Biko,06/03/1995,Kenya,,,2
844,Bilal Aftab,09/05/2003,Denmark,,,3
845,Bilal Ahmed,23/04/1993,Serbia,,,1
846,Bilal Asif,24/09/1985,Pakistan,5,3,
847,Bilal Hassan,15/04/1990,Uganda,,,46
848,Bilal Khan,10/04/1988,Oman,,49,79
849,Bilal Masud,24/05/1994,Estonia,,,13
850,Bilal Muhammad,10/04/1998,Malta,,,31
851,Bilal Safdar,16/05/1994,Norway,,,9
852,Bilal Sami,21/12/2003,Afghanistan,,1,
853,Bilal Tahir,31/05/1998,Kuwait,,,52
854,Bilal Zalmai,01/01/1989,Austria,,,14
855,Bilawal Bhatti,17/09/1991,Pakistan,2,10,9
856,G P Bilby,07/05/1941,New Zealand,2,,
857,P J V Biljon,15/04/1986,South Africa,,,10
858,I S Billcliff,26/10/1972,Canada,,19,2
859,S W Billings,15/06/1991,England,3,28,37
860,J G Binks,05/10/1935,England,2,,
861,A P Binns,24/07/1929,West Indies,5,,
862,R M H Binny,19/07/1955,India,27,72,
863,S T R Binny,03/06/1984,India,6,14,3
864,Bipin Kumar,15/05/1993,Qatar,,,8
865,J M Bird,11/12/1986,Australia,9,,
866,M C Bird,25/03/1888,England,10,,
867,J Birkenshaw,13/11/1940,England,5,,
868,K Birkenstock,27/03/1996,Namibia,,20,9
869,L S Birkett,14/04/1904,West Indies,4,,
870,D Birrell,04/04/2000,Jersey,,1,15
871,T R Birt,09/12/1981,Australia,,,4
872,A Bishnoi,19/02/1988,Malta,,,12
873,K K Bishnoi,11/07/1983,Brazil,,,3
874,D Bishoo,06/11/1985,West Indies,36,42,7
875,G A Bishop,25/02/1960,Australia,,2,
876,I R Bishop,24/10/1967,West Indies,43,84,
877,T J Bishop,26/01/2003,West Indies,,1,
878,M Bisset,14/04/1876,South Africa,3,,
879,G F Bissett,05/11/1905,South Africa,4,,
880,C Bisson,19/06/1993,Jersey,,,14
881,W K Bitis,09/09/1981,Croatia,,,9
882,M I Black,07/06/1975,West Indies,6,5,
883,J M Blackham,11/05/1854,Australia,35,,
884,D D J Blackie,05/04/1882,Australia,3,,
885,I D Blackwell,10/06/1978,England,1,34,
886,J Blackwood,20/11/1991,West Indies,56,3,
887,J Blades,15/04/2002,West Indies,,1,
888,J A R Blain,04/01/1979,Scotland,,33,6
889,T E Blain,17/02/1962,New Zealand,11,38,
890,B R Blair,27/12/1957,New Zealand,,14,
891,R W Blair,23/06/1932,New Zealand,19,,
892,C C Blake,03/07/1994,Vanuatu,,,3
893,D L Blake,04/12/1961,United States,,1,
894,G Blakeney,22/02/1973,Bermuda,,2,
895,R J Blakey,15/01/1967,England,2,3,
896,D G Blampied,10/07/1996,Jersey,,3,42
897,J M Blanckenberg,31/12/1892,South Africa,18,,
898,K C Bland,05/04/1938,South Africa,21,,
899,G S Blewett,29/10/1971,Australia,46,32,
900,I F W Bligh,13/03/1859,England,4,,
901,A M Blignaut,01/08/1978,Zimbabwe,19,54,1
902,D A Blignaut,08/04/1995,Germany,,,29
903,P Blignaut,21/10/2005,Namibia,,1,4
904,T A Blundell,01/09/1990,New Zealand,40,12,9
905,R C Blunt,03/11/1900,New Zealand,9,,
906,C Blythe,30/05/1879,England,19,,
907,J H Board,23/02/1867,England,6,,
908,E G Bock,17/08/1908,South Africa,1,,
909,S Bodha,03/02/2003,Gibraltar,,,29
910,G H Bodi,04/01/1979,South Africa,,2,1
911,C Bogdanos,13/09/1999,Greece,,,6
912,S Bogdos,30/09/1995,Greece,,,4
913,A Bohara,30/07/1997,Nepal,,2,62
914,P R P Boissevain,18/10/2000,Netherlands,,6,7
915,M L Bojang,29/10/2002,Gambia,,,8
916,N Boje,20/03/1973,South Africa,43,115,1
917,S M Boland,11/04/1989,Australia,13,14,3
918,D E Bollinger,24/07/1981,Australia,12,39,9
919,B A Bolton,31/05/1935,New Zealand,2,,
920,J B Bolus,31/01/1934,England,7,,
921,V F Bomnyuy,23/06/2004,Cameroon,,,5
922,G E Bond,05/04/1909,South Africa,1,,
923,S E Bond,07/06/1975,New Zealand,18,82,20
924,L Bonner,29/12/1998,Belize,,,7
925,N E Bonner,23/01/1989,West Indies,15,6,2
926,G J Bonnor,25/02/1855,Australia,17,,
927,S L Boock,20/09/1951,New Zealand,30,14,
928,D C Boon,29/12/1960,Australia,107,181,
929,B C Booth,19/10/1933,Australia,29,,
930,W Booth,10/12/1886,England,2,,
931,R S Bopara,04/05/1985,England,13,120,38
932,C G Borde,21/07/1934,India,55,,
933,D C Borden,04/03/1985,Bermuda,,12,
934,A R Border,27/07/1955,Australia,156,273,
935,P W Borren,21/08/1983,Netherlands,,58,43
936,S G Borthwick,19/04/1990,England,1,2,1
937,B J T Bosanquet,13/10/1877,England,7,,
938,C Bosch,10/09/1994,South Africa,1,1,
939,T Bosch,14/03/1966,South Africa,1,2,
940,Bosco Tuyizere,19/04/1994,Rwanda,,,13
941,G Bose,20/05/1947,India,,1,
942,W Boshoff,09/03/1990,Sweden,,,20
943,L L Bosman,14/04/1977,South Africa,,14,14
944,P Bosnjak,08/07/1986,Croatia,,,9
945,J W H Boteju,03/11/1977,Sri Lanka,,2,
946,A C Botha,12/09/1975,Ireland,,42,14
947,J Botha,02/05/1982,South Africa,5,78,40
948,L Botha,02/08/2001,South Africa,,,
949,I T Botham,24/11/1955,England,102,116,
950,J T Botten,21/06/1938,South Africa,3,,
951,M V Boucher,03/12/1976,South Africa,147,295,25
952,T A Boult,22/07/1989,New Zealand,78,114,61
953,M P Bowden,01/11/1865,England,2,,
954,C J Bowes,19/10/1992,New Zealand,,6,11
955,W E Bowes,25/07/1908,England,15,,
956,E H Bowley,06/06/1890,England,5,,
957,C J Boyce,27/07/1989,Australia,,,7
958,K D Boyce,11/10/1943,West Indies,21,8,
959,G Boycott,21/10/1940,England,108,36,
960,H F Boyle,10/12/1847,Australia,12,,
961,T S Braat,04/11/1992,Netherlands,,,6
962,B P Bracewell,14/09/1959,New Zealand,6,1,
963,D A J Bracewell,28/09/1990,New Zealand,28,21,20
964,J G Bracewell,15/04/1958,New Zealand,41,53,
965,M G Bracewell,14/02/1991,New Zealand,8,23,27
966,J R Bracey,03/05/1997,England,2,,
967,N W Bracken,12/09/1977,Australia,5,116,19
968,G E Bradburn,26/05/1966,New Zealand,7,11,
969,W P Bradburn,24/11/1938,New Zealand,2,,
970,W M Bradley,02/01/1875,England,2,,
971,D G Bradman,27/08/1908,Australia,52,,
972,I D R Bradshaw,09/07/1974,West Indies,5,62,1
973,D H Brain,04/10/1964,Zimbabwe,9,23,
974,N Brand,12/04/1996,South Africa,2,,
975,E A Brandes,05/03/1963,Zimbabwe,10,59,
976,D L Brangman,24/08/1987,Bermuda,,,24
977,W H Brann,04/04/1899,South Africa,3,,
978,R Brar,18/09/1989,Cyprus,,,5
979,M Brasier,11/12/2002,Finland,,,3
980,J T Brassell,31/03/2005,Namibia,,7,13
981,C R Brathwaite,18/07/1988,West Indies,3,44,41
982,K C Brathwaite,01/12/1992,West Indies,97,10,
983,L C Braund,18/10/1875,England,23,,
984,D J Bravo,07/10/1983,West Indies,40,164,91
985,D M Bravo,06/02/1989,West Indies,56,122,26
986,J P Bray,30/11/1973,Ireland,,15,2
987,J M Brearley,28/04/1942,England,39,25,
988,W Brearley,11/03/1876,England,4,,
989,M Breban,25/10/1992,Guernsey,,,1
990,G R Breese,09/01/1976,West Indies,1,,
991,M P Breetzke,03/11/1998,South Africa,1,,10
992,C Brennan,23/09/2005,Jersey,,,23
993,D V Brennan,10/02/1920,England,2,,
994,G B Brent,13/01/1976,Zimbabwe,4,70,3
995,T T Bresnan,28/02/1985,England,23,85,34
996,D Brevis,29/04/2003,South Africa,,,2
997,G A Briant,11/04/1969,Zimbabwe,1,5,
998,D R Briggs,30/04/1991,England,,1,7
999,J Briggs,03/10/1862,England,33,,
1000,R J Bright,13/07/1954,Australia,25,11,
1001,J E Brinkley,13/03/1974,Scotland,,5,
1002,A W Briscoe,06/02/1911,South Africa,2,,
1003,S A Britton,10/02/1988,Ireland,,1,
1004,T Britton,25/07/2006,Jersey,,,1
1005,B C Broad,29/09/1957,England,25,34,
1006,J Broad,30/06/2000,Germany,,,9
1007,S C J Broad,24/06/1986,England,167,121,56
1008,W C Broaster,21/11/2000,Belize,,,1
1009,W Brockwell,21/01/1865,England,7,,
1010,H D Bromfield,26/06/1932,South Africa,9,,
1011,E H Bromley,02/09/1912,Australia,2,,
1012,H R Bromley-Davenport,18/08/1870,England,4,,
1013,H C Brook,22/02/1999,England,24,20,39
1014,D Brookes,29/10/1915,England,1,,
1015,S S J Brooks,01/10/1988,West Indies,13,29,13
1016,N T Broom,20/11/1983,New Zealand,2,39,11
1017,A Brown,17/10/1935,England,2,,
1018,A D Brown,11/02/1970,England,,16,
1019,C Brown,17/12/1977,Belize,,,4
1020,D Brown,18/12/1973,West Indies,,3,
1021,D J Brown,30/01/1942,England,26,,
1022,D R Brown,29/10/1969,Scotland,,25,2
1023,F R Brown,16/12/1910,England,22,,
1024,G Brown,06/10/1887,England,7,,
1025,J T Brown,20/08/1869,England,8,,
1026,L S Brown,24/11/1910,South Africa,2,,
1027,P R Brown,23/08/1998,England,,,4
1028,R D Brown,11/03/1951,Zimbabwe,,7,
1029,S J E Brown,29/06/1969,England,1,,
1030,T Brown,30/08/1994,Bahamas,,,4
1031,V R Brown,03/11/1959,New Zealand,2,3,
1032,W A Brown,31/07/1912,Australia,22,,
1033,B S Browne,16/09/1967,West Indies,,4,
1034,C O Browne,07/12/1970,West Indies,20,46,
1035,C R Browne,08/10/1890,West Indies,4,,
1036,P A Browne,26/01/1982,West Indies,,5,
1037,S Browne,19/03/1988,Luxembourg,,,4
1038,D G Brownlie,30/07/1984,New Zealand,14,16,5
1039,L Bruce,25/06/2005,Gibraltar,,,42
1040,T C Bruce,02/08/1991,New Zealand,,,17
1041,W Bruce,22/05/1864,Australia,14,,
1042,G K Bruk-Jackson,25/04/1969,Zimbabwe,2,1,
1043,P L Bruno,25/05/1988,Argentina,,,6
1044,H R Bryan,21/03/1970,West Indies,,15,
1045,S Bryne,22/09/1995,Malta,,,2
1046,R E Bryson,25/07/1968,South Africa,,7,
1047,P Buccimazza,01/10/1981,Portugal,,,7
1048,J Buchanan,31/12/1991,Cayman Islands,,,3
1049,C P Buckenham,16/01/1876,England,4,,
1050,N Buckle,22/06/2000,Guernsey,,,3
1051,N B Budayair,15/10/1991,Nepal,,,4
1052,Buddika Mahesh,26/11/1983,Cyprus,,,6
1053,D E Budge,11/09/1995,Scotland,,17,8
1054,T Bukenya,25/12/2001,Uganda,,,4
1055,Bukhar Illikkal,12/09/1991,Qatar,,,11
1056,J Bulele,14/03/2003,Mozambique,,,27
1057,C E Bulfin,19/08/1973,New Zealand,,4,
1058,A Bulow,14/07/1994,Denmark,,,2
1059,J J Bumrah,06/12/1993,India,45,89,70
1060,F Bur,,Argentina,,,1
1061,S Burdekin,01/03/1995,Cyprus,,,10
1062,T Buree,,Thailand,,,1
1063,P J P Burge,17/05/1932,Australia,42,,
