,0,1,2,3,4,5
434,Arashdeep Samra,28/02/1998,Philippines,,,15
435,S Aravind,08/04/1984,India,,,1
436,V Aravind,11/06/2002,United Arab Emirates,,61,48
437,A G Archer,06/12/1871,England,1,,
438,J C Archer,01/04/1995,England,13,27,29
439,K A Archer,17/01/1928,Australia,5,,
440,R G Archer,25/10/1933,Australia,19,,
441,Areeb Quadir,01/08/1988,Finland,,,5
442,Arif Butt,17/05/1944,Pakistan,3,,
443,Ariful Haque,18/11/1992,Bangladesh,2,1,9
444,Z Arinaitwe,04/12/2001,Uganda,,,6
445,V Aritharan,22/04/1987,Germany,,,4
446,Aritra Dutta,15/08/1991,Singapore,,,25
447,Arjun Shahi,16/01/2009,Cyprus,,,9
448,Arjun Vinod,18/05/1995,Switzerland,,,22
449,Arjunsingh Rajpurohit,15/06/1993,Gambia,,,3
450,Armaan Kapoor,28/12/1994,Canada,,,2
451,T Armitage,25/04/1848,England,2,,
452,W W Armstrong,22/05/1879,Australia,50,,
453,B J Arnel,03/01/1979,New Zealand,6,,
454,E G Arnold,07/11/1876,England,10,,
455,G G Arnold,03/09/1944,England,34,14,
456,J Arnold,30/11/1907,England,1,,
457,R P Arnold,25/10/1973,Sri Lanka,44,180,1
458,K J Arnott,08/03/1961,Zimbabwe,4,13,
459,B Arora,27/01/1983,Malta,,,56
460,P Arora,12/07/1986,Mexico,,,9
461,P Arrighi,17/12/1991,Argentina,,,8
462,Arsalan Ahmed,12/05/1994,Greece,,,7
463,Arsalan Amjad,,Estonia,,,19
464,Arsalan Arif,17/11/1995,Austria,,,4
465,Arsalan Naseem,28/10/1999,Portugal,,,1
466,Arsalan Qadir,15/09/1989,Canada,,,1
467,Arshad Ali,06/04/1976,United Arab Emirates,,4,
468,Arshad Ayub,02/08/1958,India,13,32,
469,Arshad Hayat,15/04/1982,Czech Republic,,,6
470,Arshad Iqbal,26/12/2000,Pakistan,,,3
471,Arshad Khan,22/03/1971,Pakistan,9,58,
472,Arshad Laeeq,28/11/1970,United Arab Emirates,,6,
473,Arshad Mazarzei,23/07/1987,Iran,,,3
474,Arshad Pervez,01/10/1953,Pakistan,,2,
475,Arshdeep Singh,05/02/1999,India,,8,60
476,Arslan Ahmed,09/11/1986,Portugal,,,3
477,G D Arta,,Indonesia,,,35
478,K E G Artawan,,Indonesia,,,48
479,K L T Arthurton,21/02/1965,West Indies,33,105,
480,Arumugaganesh Nagarajan,09/03/1996,Qatar,,,4
481,B Arun,14/12/1962,India,2,4,
482,Arun Gokoel,23/12/1988,Suriname,,,8
483,Arun Lal,01/08/1955,India,16,13,
484,U Aryaman Sunil,30/04/2000,Singapore,,,25
485,Aryan Dutt,12/05/2003,Netherlands,,46,16
486,Aryansh Sharma,03/12/2004,United Arab Emirates,,13,12
487,Aryaveer Chaudhary,02/06/2006,Singapore,,,5
488,Asad Ali,14/10/1988,Pakistan,,4,2
489,Asad Ali Rehemtulla,10/09/1994,Bulgaria,,,16
490,Asad Mahmood,28/02/1982,Switzerland,,,15
491,Asad Mohammad,02/11/1992,Germany,,,11
492,Asad Shafiq,28/01/1986,Pakistan,77,60,10
493,K I C Asalanka,29/06/1997,Sri Lanka,3,71,58
494,N R Asgarli,28/12/1920,West Indies,2,,
495,Asghar Afghan,22/12/1987,Afghanistan,6,114,75
496,Asghar Ali,03/09/1971,United Arab Emirates,,2,
497,Ashfaq Ahmed,06/06/1973,Pakistan,1,3,
498,Ashfaq Ahmed,26/03/1985,United Arab Emirates,,16,12
499,Ashiqullah Said,06/10/1993,Belgium,,,12
500,Ashish Odedara,24/10/1991,Oman,,4,4
501,Ashish Rana,02/04/1993,Estonia,,,5
502,W H Ashley,10/02/1862,South Africa,1,,
503,A Ashok,05/09/2002,New Zealand,,2,1
504,A Ashokan,27/02/1993,Czech Republic,,,31
505,Ashraf Ali,22/04/1958,Pakistan,8,16,
506,Ashwanth Valthapa,16/06/2001,United Arab Emirates,,3,1
507,S Ashwarthnarayana,08/02/1986,Hungary,,,14
508,R Ashwin,17/09/1986,India,106,116,65
509,Ashwin Vinod,01/07/1997,Switzerland,,,20
510,J Asia,06/01/2006,Nigeria,,,16
511,Asif Ali,28/11/1995,Bahrain,,,13
512,Asif Ali,01/10/1991,Pakistan,,21,58
513,Asif Bevinje,29/11/1997,Romania,,,10
514,Asif Iqbal,06/06/1943,Pakistan,58,10,
